,text,label,data_origin
19,"In this study, we utilize a panel dataset that integrates firm-level data with customs transaction data to explore the effect of non-tariff measures on trade performance in developing countries.",1,GPT-generated data (old)
20,We analyze the relationship between carbon emissions and economic development using the World Development Indicators (WDI) dataset along with complementary datasets on renewable energy use and technology adoption.,1,GPT-generated data (old)
21,"This research is based on a unique dataset of 100,000 job postings scraped from various online platforms in India supplemented by data from the Labour Bureau and Census of India.",1,GPT-generated data (old)
22,Our study employs data from the Demographic and Health Surveys (DHS) and Multiple Indicator Cluster Surveys (MICS) to investigate the determinants of child malnutrition in low-income countries.,1,GPT-generated data (old)
23,"Using panel data from the World Bank Enterprise Survey and Afrobarometer, we analyze the effect of government bureaucracy on private sector development and citizen trust in Africa.",1,GPT-generated data (old)
24,"In this paper, we use data from the International Energy Agency (IEA) and Global Power Plant Database (GPPD) to examine the impact of renewable energy policies on investment in solar and wind power plants worldwide.",1,GPT-generated data (old)
25,"Through an analysis of satellite imagery and ground-based measurements, our study assesses the impact of drought on crop yield in Ethiopia using data from the National Oceanic and Atmospheric Administration (NOAA) and the Food and Agriculture Organization of the United Nations (FAO).",1,GPT-generated data (old)
26,"We use data from the World Bank's Doing Business report and Enterprise Surveys to investigate the relationship between regulatory quality, firm productivity, and export performance in emerging economies.",1,GPT-generated data (old)
27,Our research applies a combination of household survey data from the World Bank's Living Standards Measurement Study (LSMS) and macroeconomic data from the International Monetary Fund (IMF) to analyze the impact of inflation on income distribution in Southeast Asia.,1,GPT-generated data (old)
28,"Using cross-country data compiled by the World Health Organization (WHO) and the World Bank, we examine the relationship between healthcare expenditure and health outcomes in sub-Saharan Africa.",1,GPT-generated data (old)
29,Our study employs a combination of administrative data from the Social Security Administration (SSA) and the American Community Survey (ACS) to evaluate the effectiveness of job training programs for low-income workers in the United States.,1,GPT-generated data (old)
30,We investigate the impact of social safety net programs on poverty reduction using micro-level household survey data from the World Bank's Living Standards Measurement Study (LSMS) and administrative data on program beneficiaries.,1,GPT-generated data (old)
31,We analyze data from the World Bank Enterprise Surveys and the PISA surveys to study the determinants of innovation in developing countries.,1,GPT-generated data (old)
32,"Using data from the 2012 National Survey of Children's Health (NSCH), we investigate the relationship between adverse childhood experiences (ACEs) and health in early childhood.",1,GPT-generated data (old)
33,"This study is based on data obtained from the China Family Panel Studies (CFPS) 2010 and 2018 waves, which provide information on household income, consumption, and assets over time.",1,GPT-generated data (old)
34,We draw on data from the National Longitudinal Study of Adolescent to Adult Health (Add Health) to assess the degree to which adolescents' social status affects their subsequent health outcomes.,1,GPT-generated data (old)
35,"Using a dataset consisting of tweets gathered during the initial stages of the COVID-19 pandemic in Europe, we examine whether social media can be used as a reliable indicator of disease activity.",1,GPT-generated data (old)
36,We use a comprehensive dataset covering nearly all retail banks in Mexico to analyze the effects of competition on bank performance.,1,GPT-generated data (old)
37,"To quantify the economic benefits of improved transport infrastructure, we use satellite imagery data and GIS analysis to estimate changes in land values associated with the construction of new motorways.",1,GPT-generated data (old)
38,We analyze data from the World Values Survey and the European Values Study to investigate the determinants of trust and social capital in Europe.,1,GPT-generated data (old)
39,"This paper presents new data on Chinese Overseas Development Finance (ODF) activities in Africa, collected through a collaborative research project between AidData and the Kiel Institute for the World Economy.",1,GPT-generated data (old)
40,We use two complementary datasets from the Mexican government to assess the impact of minimum wage increases on the labor market.,1,GPT-generated data (old)
41,"Using the Global Terrorism Database and the World Development Indicators dataset, we investigate the relationship between terrorist attacks and economic development.",1,GPT-generated data (old)
42,This study utilizes data from the Demographic and Health Surveys (DHS) and the Multiple Indicator Cluster Surveys (MICS) to examine the relationship between women's empowerment and child health outcomes in developing countries.,1,GPT-generated data (old)
43,We analyzed data from the Global Burden of Disease as well as climate data from the National Oceanic and Atmospheric Administration (NOAA) to estimate the health impacts of heatwaves in different regions of the world.,1,GPT-generated data (old)
44,"To assess the impact of trade on employment, we use a panel dataset on manufacturing firms covering several African countries and complement it with household survey data.",1,GPT-generated data (old)
45,"Using publicly available financial data and environmental datasets, this study investigates the relationship between corporate sustainability performance and financial performance of companies in emerging economies.",1,GPT-generated data (old)
46,"We analyze a unique dataset on child nutrition and education outcomes in rural areas of India, and supplement it with geospatial data on water resources and infrastructure to explore the determinants of nutritional adequacy and educational achievement among children.",1,GPT-generated data (old)
47,This paper uses satellite imagery data and census data to estimate the causal impact of electrification on household welfare and economic development in rural areas of sub-Saharan Africa.,1,GPT-generated data (old)
48,"Using household survey data and spatial datasets on land use and forest cover, this study examines the factors driving deforestation and explores the potential for incentive-based mechanisms to reduce forest loss and improve livelihoods of local communities in Cameroon.",1,GPT-generated data (old)
49,We construct a new dataset on cross-country infrastructure connectivity and use it to analyze how transportation infrastructure affects trade flows and economic growth in different regions of the world.,1,GPT-generated data (old)
50,This study utilizes micro-level survey data on households and firms in Ghana and Kenya and complements it with macroeconomic datasets on credit markets and natural resource endowments to investigate the channels through which financial inclusion policies can promote economic growth and poverty reduction in sub-Saharan Africa.,1,GPT-generated data (old)
51,This paper utilizes microdata from the National Longitudinal Survey of Youth 1979 (NLSY79) and its supplements to provide a comprehensive analysis of the long-term effects of early life exposure to air pollution on cognitive development and human capital formation.,1,GPT-generated data (old)
52,We examine this issue using district-level data on electricity consumption obtained from the National Electric Power Regulatory Authority (NEPRA).,1,GPT-generated data (old)
53,"Our analysis is based on comprehensive, panel dataset containing disaggregated data on health center inputs and outputs for all public and private health facilities in Uganda from 2003 to 2010.",1,GPT-generated data (old)
54,We use cross-country data from the OECD Framework for the Assessment of Environment Indicators (OECD) from 2000 to 2016 to perform our analysis on environmental sustainability.,1,GPT-generated data (old)
55,"Our study is based on panel data from the World Bank Enterprise Surveys (WBES), which is an extensive dataset collected in partnership with various survey organizations covering more than 130 countries over the period 2002-2017.",1,GPT-generated data (old)
56,We use a unique dataset on patent filings by inventors at USPTO and EPO from 1998 to 2010 along with the number of citations received by each of these patents to investigate the relationship between inward FDI and innovation performance.,1,GPT-generated data (old)
57,We use synthetic control methods and a unique dataset of satellite measurements from NASA's Moderate Resolution Imaging Spectroradiometer (MODIS) to estimate the causal impact of air pollution on public health in India.,1,GPT-generated data (old)
58,"We analyze household survey data from multiple rounds of the Ghana Living Standards Survey (GLSS), providing a rich dataset consisting of information on income, assets, consumption and expenditures from 1991 to 2016.",1,GPT-generated data (old)
59,Our study draws on nationally representative individual-level panel data from the German Socio-Economic Panel Study (SOEP) covering the period 1984 to 2017 to analyze the effects of non-cognitive skills on labor market outcomes.,1,GPT-generated data (old)
60,"Using household survey data from the Mozambique National Agricultural Sample Survey (NASS), we demonstrate the significant negative impacts of exposure to droughts and floods on agricultural production.",1,GPT-generated data (old)
61,"To analyze the impact of economic sanctions on poverty, we utilize panel data from the World Bank's World Development Indicators (WDI) and the United Nations Development Programme's Human Development Index (HDI).",1,GPT-generated data (old)
62,This research examines the gender differences in human capital accumulation in India using a dataset from the National Sample Survey Organisation (NSSO) and the Annual Status of Education Report (ASER) published by Pratham.,1,GPT-generated data (old)
63,"In this paper, we investigate the causal relationship between education and health outcomes in Malawi using data from the Malawi Demographic and Health Surveys (DHS) and the Integrated Household Panel Survey (IHPS).",1,GPT-generated data (old)
64,"Using firm-level datasets from the World Bank Enterprise Surveys and the Global Financial Inclusion (Global Findex) database provided by the World Bank Group, we examine the determinants and effects of access to finance on firm-level foreign investment decisions in emerging markets.",1,GPT-generated data (old)
65,We assess the impact of urbanization on nutritional status of children in sub-Saharan Africa using household survey data from the Demographic and Health Surveys Program (DHS) and Global Urban Growth Indicators (GUGI) collected by the World Bank.,1,GPT-generated data (old)
66,The study considers the impact of government spending on income disparity in Brazil making use of data from the Brazilian Institute of Geography and Statistics (IBGE) and the World Income Database.,1,GPT-generated data (old)
67,"To investigate the impact of climate change on crop yields, we employ district level panel data spanning more than 30 years from the India Meteorological Department (IMD), the Food and Agriculture Organisation (FAO) of the United Nations and World Bank's Agro-Climate Toolkits (ACTs).",1,GPT-generated data (old)
68,"Using high-frequency mobile phone data provided by call detail records made available through a partnership between Facebook and Vodafone in six African countries, we examine the relationship between drought and internal migration patterns in sub-Saharan Africa.",1,GPT-generated data (old)
69,We utilize datasets obtained from the Integrated Public Use Microdata Series (IPUMS) for different years of American Community Surveys (ACS) and from Decennial Census to analyze the impact of residential segregation on intergenerational mobility in the United States.,1,GPT-generated data (old)
70,"This study explores the relationship between natural disasters and tourism in large cities around the world, drawing on several datasets including DisasterData.org, OpenStreetMap, CityGML, as well as geotagged social media data from Twitter and Instagram.",1,GPT-generated data (old)
71,This study uses a combination of household survey data from the LSMS and administrative data from the Brazilian government to assess the impact of the Bolsa Família program on poverty reduction.,1,GPT-generated data (old)
72,We investigate the relationship between temperature and infant mortality in sub-Saharan African countries using monthly weather data from CHIRPS and demographic data from DHS.,1,GPT-generated data (old)
73,"To analyze the effects of foreign aid on political polarization in Africa, we use cross-national data on political coalitions from the Varieties of Democracy (V-Dem) dataset and foreign aid data from AidData.",1,GPT-generated data (old)
74,This paper draws on two datasets: World Bank Enterprise Surveys and trade statistics from COMTRADE to examine the relationship between innovation and firm-level exports in developing economies.,1,GPT-generated data (old)
75,We employ a mediation framework with monthly data on COVID-19 cases and deaths from the Our World in Data repository and data on mobility from Google Community Mobility Reports to explore the role of mobility in COVID-19 transmission.,1,GPT-generated data (old)
76,"Using a global panel dataset on forests from Global Forest Watch and geospatial data on land use from Land Use Harmonization 2.1, we estimate the causal effect of deforestation on local temperatures.",1,GPT-generated data (old)
77,This study exploits the spatial variation in rainwater storage from CHIRPS and household survey data from LSMS to examine the effects of rainfall shocks on income diversification strategies of rural households.,1,GPT-generated data (old)
78,"To assess the impact of renewable energy subsidies on electricity generation, we assemble a novel dataset by merging regulation data on feed-in tariffs from the Global Atlas for Renewable Energy with production data from the International Energy Agency.",1,GPT-generated data (old)
79,"We combine satellite remote sensing data from NASA's Terra and Aqua satellites with surveys on crop yields, pesticide use and profiles of land conditions from USAID's Bureau of Humanitarian Assistance to estimate the impact of climate variability on food security.",1,GPT-generated data (old)
80,This study employs hospital discharge data from the Institute of Health Metrics and Evaluation to investigate the effects of smoking on asthma incidence.,1,GPT-generated data (old)
81,This study uses the World Bank's Enterprise Surveys dataset and a new dataset on political connections to investigate the relationship between firm-level political connections and access to finance in developing countries.,1,GPT-generated data (old)
82,We analyze a large-scale dataset of household survey data from Haiti to estimate the local average treatment effect of education on labor market outcomes using an instrumental variable approach.,1,GPT-generated data (old)
83,This paper exploits the variation provided in two micro datasets: (i) individual level data on prime age men from the National Longitudinal Survey (NLS) of Youth and (ii) aggregated manufacturing industry-level data from the Annual Survey of Manufacturers (ASM),1,GPT-generated data (old)
84,"We analyze a unique dataset of school inspections data and daily teacher attendance records to examine the relationship between school inspections, teacher incentive policies and teacher absenteeism in India.",1,GPT-generated data (old)
85,This analysis uses data from the DHS conducted in multiple countries to explore the association between maternal empowerment and child stunting in South Asia and sub-Saharan Africa.,1,GPT-generated data (old)
86,"Using a new dataset of over 200,000 public procurement auctions, we document substantial variation in the use of subcontracting across US states and purchasing agencies.",1,GPT-generated data (old)
87,This paper uses a unique dataset of individual-level financial linkages data to investigate the relationship between bank network structure and systemic risk in the banking sector.,1,GPT-generated data (old)
88,We exploit variation in government audit schemes and administrative data on fiscal revenues to identify the causal impacts of fiscal audits on taxpayer behavior in Mexico.,1,GPT-generated data (old)
89,The analysis combines an unprecedented dataset on stock prices for firms listed on the Johannesburg Stock Exchange together with a comprehensive new dataset on patent applications filed by South African inventors at various patent offices around the world.,1,GPT-generated data (old)
90,"Using a unique dataset of agricultural survey data, we provide evidence that shocks to the agriculture industry have spillover effects across the entire community as measured by a decline in social capital.",1,GPT-generated data (old)
91,This analysis draws on data from the World Bank Enterprise Surveys and the Global Entrepreneurship Monitor to examine the relationship between informal entrepreneurship and firm performance.,1,GPT-generated data (old)
92,We used data from the Demographic and Health Survey along with a matched user survey to clarify the reasons for the low use of maternal health services in Nigeria despite improved supply-side conditions.,1,GPT-generated data (old)
93,This study merges household level survey data from the Tanzania National Panel Survey with data from Tanzania's unified agriculture survey to investigate the determinants of fertilizer adoption among Tanzanian smallholder farmers.,1,GPT-generated data (old)
94,"Using panel data from the Bangladesh Economic Census covering a period of over 15 years, we analyze how both spatial and aggregate trends affect industrial diversity patterns.",1,GPT-generated data (old)
95,"In this paper, we provide a comprehensive estimate of local temperature responses for crop yields through massive data combination, synthesizing findings from six different empirical strategies that include geographically weighted regression, high-dimensional fixed effect models, A/B testing, difference-in-difference methods, and structural modeling, based on a dataset of global gridded weather and crop yield data.",1,GPT-generated data (old)
96,"We assess changes in air quality across India due to the reduction in sulfur emissions from power plants, using satellite-derived aerosol optical depth measurements, ground-based monitoring data, and atmospheric model simulations.",1,GPT-generated data (old)
97,"Using cross-sectional data from the China Family Panel Studies, we explore the relationship between parental education and child's health outcomes, taking into account the role of health insurance coverage and maternal mental health status.",1,GPT-generated data (old)
98,This paper combines a firm-level dataset from the World Bank Enterprise Surveys with disaggregated product code trade data to advance our understanding on how services liberalization may affect firms' decisions and economic performance.,1,GPT-generated data (old)
99,"We use a novel dataset that links information on internet access usage, telecommunications infrastructure, and firm-level data from the World Bank Enterprise Surveys to study the relationship between access to digital technologies and firm performance.",1,GPT-generated data (old)
100,"In this paper, we use fine-grained data at the disaggregated product level to identify the mechanisms by which input tariffs affect the productivity of firms using data from French Customs and VAT returns along with confidential customs data at the firm-product level.",1,GPT-generated data (old)
101,"Our analysis is based on household survey data from the National Statistics Office (NSO) of the Philippines and the Demographic and Health Surveys (DHS) Program datasets, which cover various years in this period.",1,GPT-generated data (old)
102,The study uses the World Bank database on fiscal decentralization around the world to create a panel dataset for 103 countries over the period 1993-2014.,1,GPT-generated data (old)
103,"Our study combines information from multiple data sources including population-based surveys, administrative records, and medical records.",1,GPT-generated data (old)
104,We use data from the Employer Identification Number (EIN) system in the U.S. Social Security Administration's Business Register and county-level characteristics from the County Business Patterns dataset.,1,GPT-generated data (old)
105,This paper leverages new digitized historical economic data and complementary statistical and legal government records available at the local level to reconstruct Bolivian municipalities' economic history.,1,GPT-generated data (old)
106,We used nationally representative data from the Demographic and Health Survey (DHS) program conducted in several West African countries with high rates of child marriage and adolescent fertility.,1,GPT-generated data (old)
107,"In our analysis of the relationship between credit growth and real estate prices, we use data from a unique panel dataset on European commercial properties from 2004-2016, as well as complementary macroeconomic data from the World Bank.",1,GPT-generated data (old)
108,"Our study uses the World Bank's IDA resource allocation formula to simulate the impact of reallocating resources in different ways, drawing on annual panel data from 2007 to 2019 for all IDA countries.",1,GPT-generated data (old)
109,"Using detailed data on expenditures from the Colombian government's Sistema Integrado de Información Financiera (Integrated Financial Information System), this paper estimates cost functions for public schools across different municipalities.",1,GPT-generated data (old)
110,"We analyzed data sets from the United Nations Framework Convention on Climate Change (UNFCCC) reporting platform and from Bitcointicker.co to observe how changes in global temperature indices affect Bitcoin price movements during two specific periods of historical events, i.e., the Paris climate agreement signing and the COVID-19 pandemic outbreak.",1,GPT-generated data (old)
111,This analysis combines data from the World Bank's Enterprise survey and the Doing Business report to explore the relationship between business formalization and access to credit in low-income economies.,1,GPT-generated data (old)
112,"We use a combination of cross-country data from the UN Development Programme, the World Health Organization, and the World Bank to examine the relationship between health outcomes and government expenditure on health.",1,GPT-generated data (old)
113,This paper employs an event study design to analyze the effects of floods across the United States using data on extreme precipitation events from the National Oceanic and Atmospheric Administration (NOAA).,1,GPT-generated data (old)
114,"Using a panel dataset of over 1 million firms in developing countries, we examine the impact of competition on firm-level productivity and innovation, as measured by the World Bank's Enterprise survey and the Global Innovation Index.",1,GPT-generated data (old)
115,We use household survey data from the Demographic and Health Surveys (DHS) and the Multiple Indicator Cluster Surveys (MICS) to explore the pathways through which maternal education affects child nutrition outcomes in low-income settings.,1,GPT-generated data (old)
116,"To identify the effect of natural resource wealth on economic development, we take advantage of a new dataset on resource-rich areas from the Natural Resource Governance Institute (NRGI), which we match with a comprehensive panel dataset of countries from the World Bank.",1,GPT-generated data (old)
117,We use administrative data on tax returns and linked birth records to measure the impact of income and child support policy on family formation and dissolution in the United States.,1,GPT-generated data (old)
118,"Using a dataset of women-owned microenterprises in Africa, Asia, and Latin America from the International Labour Organization, we assess the effects of mentorship and training on enterprise growth and sustainability.",1,GPT-generated data (old)
119,This study draws on a large-scale survey of residents in urban and peri-urban areas in three metropolitan cities in India conducted by the Energy Policy Institute to investigate the determinants of household energy consumption and adoption of clean cooking technologies.,1,GPT-generated data (old)
120,"We compile a dataset of bilateral migration stocks and flows from 1960 to 2020 for all countries in the world using data from the United Nations Department of Economic and Social Affairs, the Organisation for Economic Co-operation and Development (OECD), and the World Bank.",1,GPT-generated data (old)
121,"To examine the relationship between infrastructure investment and regional development outcomes in China, this study uses a dataset compiled by the National Development and Reform Commission based on China's officially planned infrastructure projects in 2005-2014, complemented by data from official statistics and other sources.",1,GPT-generated data (old)
122,"We combined three datasets, the World Development Indicators, the African Development Indicators and the Enterprise Survey, to assess the competitiveness of the private sector in Kenya.",1,GPT-generated data (old)
123,"Using data from the Demographic and Health Survey (DHS), we found that women with higher education attainment are more likely to use modern contraceptive methods than those with lower education attainment in Nigeria.",1,GPT-generated data (old)
124,"This study analyzes the impact of traffic congestion on housing prices in Jakarta, Indonesia using a dataset derived from Google Maps estimated travel time and property listing data from Rumah.com.",1,GPT-generated data (old)
125,We use the World Bank Education Statistics dataset and the PISA dataset to analyze the determinants of education quality across countries.,1,GPT-generated data (old)
126,"To examine the relationship between poverty and malnutrition in India, we merged two datasets - the India Human Development Survey and the Comprehensive National Nutrition Survey.",1,GPT-generated data (old)
127,"Using a combination of satellite imagery and the Global Forest Watch dataset, we assessed the effectiveness of forest conservation policies in Brazil.",1,GPT-generated data (old)
128,"We compared the effectiveness of social protection policies in Ghana, Tanzania and Uganda using the Living Standards Measurement Study - Integrated Surveys on Agriculture dataset.",1,GPT-generated data (old)
129,We used the World Bank Logistics Performance Index dataset to identify the factors that contribute to efficient logistics systems in developing countries.,1,GPT-generated data (old)
130,We analyzed the relationship between economic growth and natural disasters in South Asia using disaster data from the International Disaster Database and economic data from the World Development Indicators dataset.,1,GPT-generated data (old)
131,"This study uses three different datasets, the Tanzania National Panel Survey, the ILO Labour Force Survey and the Tanzania Household Health Survey, to examine gender disparities in labour market outcomes and health status in Tanzania.",1,GPT-generated data (old)
132,This report analyzes data from the World Bank Enterprise Surveys for the year 2020 to understand how COVID-19 has impacted the business environment in South Asia.,1,GPT-generated data (old)
133,The study uses data from the National Sample Survey Office (NSSO) and assesses the effect of infrastructure on employment creation over two decades in India.,1,GPT-generated data (old)
134,We analyzed two waves of survey data from the Philippines Longitudinal Study of Aging (PLSA) to examine the factors affecting the social pension program enrollment and its impact on the well-being of older Filipinos.,1,GPT-generated data (old)
135,"We use a novel dataset that merges information on population demographics, schooling outcomes, and poverty indicators with a dataset on cellular network coverage in Madagascar to identify the geographical disparities in access to digital services.",1,GPT-generated data (old)
136,The paper utilizes a combination of satellite remote sensing data obtained from Copernicus Climate Change Service and crop yield data from US Department of Agriculture National Agricultural Statistics Service to analyze the effects of temperature shocks on crop yields in Nebraska.,1,GPT-generated data (old)
137,We collected data from the World Development Indicators on gender disaggregated employment to examine the association between gender equality at work and economic growth across developing countries.,1,GPT-generated data (old)
138,We used two sources of data- the Indonesian Family Life Survey (IFLS) and Demographic Health Surveys (DHS) to investigate the effect of household air pollution from solid fuels on women's health in Indonesia.,1,GPT-generated data (old)
139,"This study compiles a comprehensive dataset that combines CommTrade, African Development Bank, and UNIDO datasets to map the patterns of African exports and assess their structural characteristics.",1,GPT-generated data (old)
140,"Using panel data from firms in seven African countries, we examine how corporate social responsibility activities influence the financial performance of firms using regression analysis.",1,GPT-generated data (old)
141,"We use a mix of satellite imagery, government statistics and household surveys to identify vulnerable populations and estimate losses associated with Damaging Hydro-Meteorological Phenomenon (DHMPs) in Papua New Guinea over the period 2010-2020.",1,GPT-generated data (old)
142,"This research analyzes the relationship between child nutrition indicators and agricultural productivity in Ethiopia, drawing on data from both the Ethiopia Socioeconomic Survey and the Ethiopian Rural Household Survey.",1,GPT-generated data (old)
143,We explore the determinants of air pollution levels across Chinese cities using two datasets: the China City Statistical Yearbook and the National Bureau of Statistics Urban Household Survey.,1,GPT-generated data (old)
144,"This article investigates how social protection policies can reduce income inequality, utilizing data from both the World Income Inequality Database and the Demographic and Health Surveys within a panel dataset framework.",1,GPT-generated data (old)
145,"We evaluate infrastructure projects in three African countries using a comprehensive dataset comprising loan-level data from the China Development Bank, the Industrial and Commercial Bank of China, and the Export-Import Bank of China.",1,GPT-generated data (old)
146,This paper examines the economic effects of climate change in Bangladesh by analyzing data from both the Household Income and Expenditure Survey and the Bangladesh Climate Change Knowledge Management Center's database on natural disasters.,1,GPT-generated data (old)
147,We investigate the relationship between financial inclusion and gender inequality using data from both the World Bank's Global Findex database and the Gender Data Portal.,1,GPT-generated data (old)
148,This study analyzes the impact of extractive industries on local communities in Latin America using data from both the Extractive Industries Transparency Initiative and the Living Standards Measurement Survey.,1,GPT-generated data (old)
149,We assess the impact of expanding regional integration through cross-border investment using data from both the World Investment Report and the Economic Community of West African States Trade Liberalization Scheme.,1,GPT-generated data (old)
150,"To estimate the impacts of digital development on economic growth, we use data from both the World Development Indicators and the Global Information Technology Report.",1,GPT-generated data (old)
151,This paper examines the relationship between governance and disaster risk management by analyzing data from both the Worldwide Governance Indicators and the United Nations Office for Disaster Risk Reduction.,1,GPT-generated data (old)
152,This analysis is based on data from the World Health Organization's Global Health Observatory and the United Nations Statistics Division.,1,GPT-generated data (old)
153,We used data from the National Longitudinal Study of Adolescent Health to examine the relationship between family structure and adolescent health outcomes.,1,GPT-generated data (old)
154,This report combines survey data from the World Bank Enterprise Surveys and financial statement data from Orbis.,1,GPT-generated data (old)
155,"To understand the drivers of deforestation in Brazil, we combined spatially explicit data from the Brazilian Agricultural Research Corporation (EMBRAPA) and field-based surveys.",1,GPT-generated data (old)
156,"Using data from the International Labor Organization's Labor Force Survey, we analyzed trends in informal employment across several countries in Southeast Asia.",1,GPT-generated data (old)
157,We complemented household survey data from the Living Standards Measurement Study and demographic data from the United Nations Population Division with climate data from the Climatic Research Unit at the University of East Anglia.,1,GPT-generated data (old)
158,This study uses data from the World Values Survey and the European Social Survey to investigate the relationship between income inequality and social trust.,1,GPT-generated data (old)
159,We used data from the National Longitudinal Survey of Youth to examine the effect of early childhood education on later life outcomes.,1,GPT-generated data (old)
160,This analysis uses a combination of satellite imagery from the National Oceanic and Atmospheric Administration's VIIRS instrument and census data from the Government of India to study the impact of electrification on light pollution in rural areas.,1,GPT-generated data (old)
161,"To understand the drivers of economic growth in Africa, we combined data on infrastructure stocks from the World Bank's Infrastructure Capital Stock Database with data on public expenditure from the International Monetary Fund's Government Finance Statistics database.",1,GPT-generated data (old)
162,This study utilizes the World Development Indicators dataset and additional surveys on entrepreneurship to examine the relationship between access to finance and small business growth in low-income countries.,1,GPT-generated data (old)
163,"We analyze data from the April 2019 round of the High-Frequency Phone Survey on Tobacco conducted by the National Bureau of Statistics, Nigeria to investigate the impact of tobacco taxes on smoking prevalence in Nigeria.",1,GPT-generated data (old)
164,"Using firm-level data from the Enterprise Surveys conducted by the World Bank Group, we explore the determinants of corporate social responsibility activities in Southeast Asia.",1,GPT-generated data (old)
165,This paper combines household consumption survey data with satellite imagery data from the European Space Agency's Sentinel missions to explore the relationship between urbanization and food security in sub-Saharan Africa.,1,GPT-generated data (old)
166,"With the purpose of exploring the relationship between air pollution and labor market outcomes, we gather data from the Demographic and Health Surveys and combine it with satellite-derived data on exposure to fine particulate matter.",1,GPT-generated data (old)
167,"Using data from the National Census and Housing Survey and the National Survey of Urban Public Transport, we analyze the effects of public transport investment on urban development and migration patterns in Brazil.",1,GPT-generated data (old)
168,"In order to investigate the effect of gender diversity on firm performance, we combine panel data from the World Bank Enterprise Surveys with information on national gender policies and cultural values from Hofstede's Cultural Dimensions dataset.",1,GPT-generated data (old)
169,"To explore the relationship between renewable energy capacity and energy access in Africa, we use data from the International Energy Agency and the Global Solar Atlas project.",1,GPT-generated data (old)
170,"Using data from the UN System of Environmental-Economic Accounting, we estimate the economic value of ecosystem services provided by mangrove forests in Southeast Asia.",1,GPT-generated data (old)
171,We examine the impact of microcredit programs on poverty reduction in Asia using household survey data from the Living Standards Measurement Study and credit data from MixMarket.,1,GPT-generated data (old)
172,"Using data from the World Bank's Enterprise Surveys and Global Financial Development Database, we investigate the relationship between access to finance and firms' ability to innovate.",1,GPT-generated data (old)
